2026-02-02 02:16:46 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 02:16:46 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 02:16:46 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 02:16:46 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 02:16:46 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 02:16:46 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 02:16:46 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 02:16:46 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 09:20:15 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 09:20:26 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 09:20:26 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 09:20:26 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 09:20:26 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 09:20:26 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 10:13:29 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 10:13:34 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 10:13:34 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 10:13:34 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 10:13:34 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 10:13:34 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 10:26:24 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 10:26:28 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 10:26:28 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 10:26:28 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 10:26:28 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 10:26:28 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 10:38:54 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 10:38:58 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 10:38:58 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 10:38:58 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 10:38:58 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 10:38:58 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 10:38:58 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 10:38:58 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 10:38:58 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 10:40:20 | ERROR    | search | Search failed: Expected where to have exactly one operator, got {} in query.
Traceback (most recent call last):
  File "C:\Users\kunika auti\Downloads\Nptel AI_1\Nptel AI\retriever.py", line 679, in search
    results = self.collection.query(
              ^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\kunika auti\AppData\Local\Programs\Python\Python312\Lib\site-packages\chromadb\api\models\Collection.py", line 213, in query
    query_request = self._validate_and_prepare_query_request(
                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\kunika auti\AppData\Local\Programs\Python\Python312\Lib\site-packages\chromadb\api\models\CollectionCommon.py", line 95, in wrapper
    return func(self, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\kunika auti\AppData\Local\Programs\Python\Python312\Lib\site-packages\chromadb\api\models\CollectionCommon.py", line 309, in _validate_and_prepare_query_request
    validate_filter_set(filter_set=filters)
  File "C:\Users\kunika auti\AppData\Local\Programs\Python\Python312\Lib\site-packages\chromadb\api\types.py", line 477, in validate_filter_set
    validate_where(filter_set["where"])
  File "C:\Users\kunika auti\AppData\Local\Programs\Python\Python312\Lib\site-packages\chromadb\api\types.py", line 1047, in validate_where
    raise ValueError(f"Expected where to have exactly one operator, got {where}")
ValueError: Expected where to have exactly one operator, got {} in query.
2026-02-02 10:41:21 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 10:41:27 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 10:41:27 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 10:41:27 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 10:41:27 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 10:41:27 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 10:41:27 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 10:41:27 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 10:41:27 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 10:45:43 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 10:45:48 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 10:45:48 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 10:45:48 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 10:45:48 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 10:45:48 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 10:46:15 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 10:46:15 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 10:46:15 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 10:53:57 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 10:54:03 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 10:54:03 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 10:54:03 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 10:54:03 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 10:54:03 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 10:55:47 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 10:55:47 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 10:55:47 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 11:21:30 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 11:21:35 | ERROR    | _init_client | Failed to initialize ChromaDB: Collection 'nptel_transcripts' not found. Please run the ingestion pipeline first.
2026-02-02 11:21:35 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 11:21:35 | ERROR    | _init_client | Failed to initialize ChromaDB: Collection 'nptel_transcripts' not found. Please run the ingestion pipeline first.
2026-02-02 11:22:38 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 11:22:43 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 11:22:43 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 11:22:43 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 11:22:43 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 11:22:43 | INFO     | __init__ | ChromaDB Retriever initialized successfully
2026-02-02 11:22:43 | INFO     | _init_client | Connecting to ChromaDB at: data\chromadb
2026-02-02 11:22:43 | INFO     | _init_client | ✓ Connected to collection 'nptel_lectures' with 36 documents
2026-02-02 11:22:43 | INFO     | __init__ | ChromaDB Retriever initialized successfully
